n,fecha,concepto,importe,estado,detalle,n_comprobante,documentos,confianza,origen_detalle,fuente,motivo
41,2026-08-10,"Impuesto ley 25.413 credito 0,6%",-18600.0,GRIS,,,,alta,ninguno,regla,cargo automatico del banco
42,2026-08-10,"Impuesto ley 25.413 debito 0,6%",-15188.28,GRIS,,,,alta,ninguno,regla,cargo automatico del banco
43,2026-08-11,Transferencia realizada - A Nombre048 Nombre049 Nombre050 / - fac / 23637811100,-83607.14,BLANCO,Mantenimiento - Plomeria - Nombre120 Nombre048,A 0003-00019213,doc_022.pdf,alta,tabla,regla,regla: importe unico + emisor coincide + tabla exacta
44,2026-08-11,Compra con tarjeta de debito - Nombre051 energia sa - tarj nro. 9486,-240008.0,NARANJA,,,,baja,ninguno,modelo,sin documento ni antecedente; concepto ambiguo; no en pistas
45,2026-08-11,Transferencia realizada - A Nombre052 Nombre053 sr / - fac / 33751612109,-570152.0,BLANCO,Servicios - Internet - Nombre052,A 0004-00005776,doc_025.pdf,alta,tabla,modelo,"factura coincide en importe exacto, CUIT y emisor"
46,2026-08-11,"Impuesto ley 25.413 debito 0,6%",-5362.6,GRIS,,,,alta,ninguno,regla,cargo automatico del banco
47,2026-08-12,Compra con tarjeta de debito - Nombre054 Nombre055 - tarj nro. 6685,-209772.88,NARANJA,,,,baja,ninguno,modelo,sin documento; concepto impreciso; combustible no es razón suficiente
48,2026-08-12,Transferencia inmediata - A Nombre056 Nombre057 Nombre058 / - fac / 20123986774,-58080.0,BLANCO,Ganaderia - Insumo - Nombre121 Nombre122,00003 00001684,doc_119.pdf,alta,tabla,regla,regla: importe unico + emisor coincide + tabla exacta
49,2026-08-12,"Impuesto ley 25.413 debito 0,6%",-1607.12,GRIS,,,,alta,ninguno,regla,cargo automatico del banco
50,2026-08-13,Pago de servicios - Nombre016 Nombre017 Nombre018: 4224108234408205485 - tarj nro. 2889,-29473.44,BLANCO,"Servicios - Electricidad - Suministro 3, Nombre127 64553",B-0014-02392599,doc_104.pdf,media,deducido,modelo,pertenece=no pero importe coincide exacto y es servicio empresa paga
51,2026-08-13,Pago de servicios - Nombre016 Nombre017 Nombre018: 4224108234408205485 - tarj nro. 2889,-424366.1,BLANCO,"Servicios - Electricidad - Suministro 3, Nombre127 64553",B-0014-02392599,doc_104.pdf,media,deducido,modelo,pertenece=no pero importe coincide exacto y es servicio empresa paga
52,2026-08-13,Pago de servicios - Nombre016 Nombre017 Nombre018: 4224108234408205485 - tarj nro. 2889,-28889.62,BLANCO,Servicios - Electricidad - 64553-3,B-0014-02392598,doc_122.pdf,media,deducido,modelo,pertenece=dudoso pero importe coincide exacto y es servicio válido
53,2026-08-13,Pago de servicios - Nombre016 Nombre017 Nombre018: 4224108234408205485 - tarj nro. 2889,-415134.84,BLANCO,Servicios - Electricidad - 64553-3,B-0014-02392598,doc_122.pdf,media,deducido,modelo,pertenece=dudoso pero importe coincide exacto y es servicio válido
54,2026-08-13,Compra con tarjeta de debito - Nombre042*Nombre059 - tarj nro. 9486,-246165.99,BLANCO,Personal - Sindicato - Nombre059,0031880663,doc_101.pdf doc_057.pdf,alta,tabla,modelo,retención y pago del sindicato coinciden en importe; tabla confirma
55,2026-08-13,Debito automatico - Senasa -30719795892,-5762.33,BLANCO,Impuesto - SENASA - El Nombre116,032361051-7,doc_023.pdf,alta,tabla,modelo,Nombre201 SENASA coincide en importe exacto; tabla respalda
56,2026-08-13,Compra con tarjeta de debito - Nombre042*Nombre060 - tarj nro. 9486,-584777.26,NARANJA,,,,baja,ninguno,modelo,sin documento; concepto Nombre409 Autos no está en pistas
57,2026-08-13,"Impuesto ley 25.413 debito 0,6%",-10407.42,GRIS,,,,alta,ninguno,regla,cargo automatico del banco
58,2026-08-14,Transferencia realizada - A Nombre061 sa / - fac / 30944632768,-965508.25,BLANCO,Mantenimiento - Materiales Electricos - Nombre061 SA,0028-00068988,doc_080.pdf,alta,tabla,regla,regla: importe unico + emisor coincide + tabla exacta
59,2026-08-14,"Impuesto ley 25.413 debito 0,6%",-5793.05,GRIS,,,,alta,ninguno,regla,cargo automatico del banco
60,2026-08-18,Compra con tarjeta de debito - Nombre062 s a - tarj nro. 6685,-175004.97,NARANJA,,,,baja,ninguno,modelo,sin documento; Nombre062 no confirmado; no en pistas
61,2026-08-18,Debito automatico - Nombre063 -5373606737494,-2257578.99,BLANCO,Servicios - Salud - Nombre063,0080-00365134,doc_096.pdf,alta,tabla,modelo,factura Nombre063 coincide en importe exacto; tabla respalda
62,2026-08-18,Compra con tarjeta de debito - Nombre001 - tarj nro. 9486,-16079.07,NARANJA,,,,baja,ninguno,modelo,sin documento; Nombre001 desconocido; no vinculado a pistas
63,2026-08-18,Retiro de efectivo en Nombre064 - Tarj nro. 9486,-400000.0,NARANJA,Pagos en efectivo,,,alta,deducido,modelo,retiro de efectivo sin especificar destino; categoría estándar
64,2026-08-18,Retiro de efectivo en Nombre064 - Tarj nro. 9486,-400000.0,NARANJA,Pagos en efectivo,,,alta,deducido,modelo,retiro de efectivo sin especificar destino; categoría estándar
65,2026-08-18,Retiro de efectivo en Nombre064 - Tarj nro. 9486,-400000.0,NARANJA,,,,baja,ninguno,modelo,retiro de efectivo sin documento respaldatorio
66,2026-08-18,Pago a proveedores Nombre065 - Nombre032 5000 625 d 33049643039 260 1295150 202,11710337.05,NARANJA,,,,baja,ninguno,modelo,ingreso sin documento identificable; concepto incompleto
67,2026-08-18,"Nombre031 al debito Nombre066 Nombre067 1,2%",-14400.0,GRIS,,,,alta,ninguno,regla,cargo automatico del banco
68,2026-08-18,"Impuesto ley 25.413 debito 0,6%",-14691.97,GRIS,,,,alta,ninguno,regla,cargo automatico del banco
69,2026-08-18,"Impuesto ley 25.413 credito 0,6%",-70262.02,GRIS,,,,alta,ninguno,regla,cargo automatico del banco
70,2026-08-19,"Comision Nombre068 Nombre069 Nombre070 - Total Nombre071 del Nombre072 $ 1200000,00",-12000.0,GRIS,,,,alta,ninguno,regla,cargo automatico del banco
71,2026-08-19,Iva 21% Nombre040 de Nombre041 ley27743,-2520.0,GRIS,,,,alta,ninguno,regla,cargo automatico del banco
72,2026-08-19,Iva percepcion rg 2408,-360.0,GRIS,,,,alta,ninguno,regla,cargo automatico del banco
73,2026-08-19,Compra con tarjeta de debito - Nombre073 Nombre026 Nombre074 s.a - tarj nro. 9486,-1548.82,NARANJA,,,,baja,ninguno,modelo,sin candidatos; importe bajo y sin detalle Nombre029
74,2026-08-19,Compra con tarjeta de debito - Nombre075 Nombre076 - tarj nro. 9486,-37.3,NARANJA,,,,baja,ninguno,modelo,"sin candidatos; importe muy bajo, posible peaje"
75,2026-08-19,"Impuesto ley 25.413 debito 0,6%",-98.79,GRIS,,,,alta,ninguno,regla,cargo automatico del banco
76,2026-08-20,Debito automatico - Nombre023 -909449900,-332754.0,BLANCO,Asesoramiento - Asociación - Nombre023,00011-00157351,doc_017.pdf,alta,tabla,modelo,importe exacto coincide; sugerencia tabla validada
77,2026-08-20,Compra con tarjeta de debito - Nombre077 de Nombre004 - tarj nro. 6685,-11510.8,NARANJA,Ganadería - Tasas - Marcas y Señales,,,media,tabla,regla,"regla: tabla exacta, sin documento candidato"
78,2026-08-20,"Impuesto ley 25.413 debito 0,6%",-2065.58,GRIS,,,,alta,ninguno,regla,cargo automatico del banco
79,2026-08-21,Pago de servicios - Arba Nombre078: 35082183007054 - tarj nro. 2889,-666563.8,BLANCO,Impuesto - ARBA - IIBB,192427094,doc_055.pdf,alta,tabla,regla,regla: importe unico + emisor coincide + tabla exacta
80,2026-08-21,Pago de servicios - Gas Nombre079: 38868782199995400 - tarj nro. 2889,-186210.6,BLANCO,Servicios - Gas - Nombre004 7630 Nombre129 Nombre130,70015-51615416/8,doc_049.pdf,alta,deducido,modelo,importe exacto; documento C.E.S.P. para Nombre185 del inmueble
81,2026-08-21,Pago de servicios - Gas Nombre079: 38868782199995400 - tarj nro. 2889,-186210.6,BLANCO,Servicios - Gas - Nombre004 7630 Nombre129 Nombre130,70015-51619368/9,doc_051.pdf,alta,deducido,modelo,importe exacto; segundo comprobante C.E.S.P. mismo domicilio
82,2026-08-21,Pago de servicios - Nombre031.Nombre032: 7316975267718804405 - tarj nro. 2889,-15260197.01,BLANCO,Impuesto - ARCA - IVA,1669866364,doc_040.pdf,alta,deducido,modelo,VEP ARCA IVA; importe exacto; documento especifica impuesto
83,2026-08-21,"Impuesto ley 25.413 debito 0,6%",-97795.08,GRIS,,,,alta,ninguno,regla,cargo automatico del banco
84,2026-08-24,Pago a proveedores Nombre065 - Nombre080 sa 30726480462 03 5359078,25000000.0,BLANCO,Agricultura - Venta Cereal - Nombre080,1-15943,doc_068.pdf,baja,tabla,modelo,importe no coincide con ningún monto del documento; CUIT sí
85,2026-08-24,Transferencia recibida - De Nombre081 Nombre082 sa / saldo - cuo / 30956357683,48249866.67,BLANCO,Agricultura - Venta Cereal - Nombre081 Nombre082,00002 00000043,doc_073.pdf doc_029.pdf,media,tabla,modelo,importe ARS factura no coincide; CUIT coincide; comprobante pago respalda
86,2026-08-24,"Impuesto ley 25.413 credito 0,6%",-439499.2,GRIS,,,,alta,ninguno,regla,cargo automatico del banco
87,2026-08-25,Pago de servicios - Nombre031.Nombre032: 7316975267718804405 - tarj nro. 2889,-165610.2,BLANCO,Impuesto - ARCA - Ganancias,1670810156 ; 0000-2026-000018,doc_091.pdf doc_081.pdf,alta,deducido,modelo,VEP ARCA Ganancias; importe exacto; documento origen especifica | guarda: comprobante tomado de los documentos de origen
88,2026-08-25,Pago de servicios - Nombre016 Nombre017 Nombre018: 4885232022101152137 - tarj nro. 2889,-3990.87,BLANCO,"Servicios - Electricidad - Ruta 86 Nº0 KM.28, Suministro 3",A-0014-00128665,doc_083.pdf,alta,deducido,modelo,importe exacto; cuota plan pagos Nombre249 Nombre250
89,2026-08-25,Pago de servicios - Nombre016 Nombre017 Nombre018: 4885232022101152137 - tarj nro. 2889,-28007.62,BLANCO,"Servicios - Electricidad - Ruta 86 Nº0 KM.28, Suministro 3",A-0014-00128665,doc_083.pdf,alta,deducido,modelo,importe exacto; total liquidación Nombre249 Nombre250
90,2026-08-25,Pago de servicios - Nombre016 Nombre017 Nombre018: 3080918979609138235 - tarj nro. 2889,-3996.53,BLANCO,"Servicios - Electricidad - Ruta 86 Nº0 KM.32, Nombre004",A-0014-00128669,doc_125.pdf,alta,deducido,modelo,importe exacto; cuota plan pagos Nombre249 Nombre250
91,2026-08-25,Pago de servicios - Nombre016 Nombre017 Nombre018: 3080918979609138235 - tarj nro. 2889,-28048.0,BLANCO,"Servicios - Electricidad - Ruta 86 Nº0 KM.32, Nombre004",A-0014-00128669,doc_125.pdf,alta,deducido,modelo,importe exacto; total liquidación Nombre249 Nombre250
92,2026-08-25,Pago de servicios - Nombre016 Nombre017 Nombre018: 4610708478556785822 - tarj nro. 2889,-12830.41,BLANCO,"Servicios - Electricidad - Ruta 86 Nº0 KM.32,5 Nombre004",A-0014-00128667,doc_059.pdf,alta,deducido,modelo,importe exacto; cuota plan pagos Nombre250 eléctrica
93,2026-08-25,Pago de servicios - Nombre016 Nombre017 Nombre018: 4610708478556785822 - tarj nro. 2889,-95528.61,BLANCO,"Servicios - Electricidad - Ruta 86 Nº0 KM.32,5 Nombre004",A-0014-00128667,doc_059.pdf,alta,deducido,modelo,importe exacto; total liquidación Nombre250 eléctrica
94,2026-08-25,Pago de servicios - Nombre016 Nombre017 Nombre018: 4187955690102494490 - tarj nro. 2889,-3999.33,BLANCO,"Servicios - Electricidad - Ruta 86 Nº0 KM.32, Suministro 80439",A-0014-00128661,doc_064.pdf,alta,deducido,modelo,importe exacto; cuota plan pagos Nombre249 Nombre250
95,2026-08-25,Pago de servicios - Nombre016 Nombre017 Nombre018: 4187955690102494490 - tarj nro. 2889,-28067.96,BLANCO,"Servicios - Electricidad - Ruta 86 Nº0 KM.32, Suministro 80439",A-0014-00128661,doc_064.pdf,alta,deducido,modelo,importe exacto; total liquidación Nombre249 Nombre250
96,2026-08-25,Pago de servicios - Nombre016 Nombre017 Nombre018: 3860463269736230159 - tarj nro. 2889,-107004.77,BLANCO,"Servicios - Electricidad - Ruta 86 Nº0 KM.32, Suministro 2",A-0014-00128663,doc_094.pdf,alta,deducido,modelo,importe exacto; cuota capital Nombre250 eléctrica Nombre004
97,2026-08-25,Retiro de efectivo en Nombre064 - Tarj nro. 9486,-400000.0,NARANJA,,,,baja,ninguno,modelo,retiro en efectivo sin documento de respaldo
98,2026-08-25,Retiro de efectivo en Nombre064 - Tarj nro. 9486,-300000.0,NARANJA,,,,baja,ninguno,modelo,retiro en efectivo sin documento de respaldo
99,2026-08-25,Retiro de efectivo en Nombre064 - Tarj nro. 9486,-300000.0,NARANJA,,,,baja,ninguno,modelo,retiro en efectivo sin documento de respaldo
100,2026-08-25,"Impuesto ley 25.413 debito 0,6%",-2862.52,GRIS,,,,alta,ninguno,regla,cargo automatico del banco
101,2026-08-25,"Nombre031 al debito Nombre066 Nombre067 1,2%",-12000.0,GRIS,,,,alta,ninguno,regla,cargo automatico del banco
102,2026-08-26,"Comision Nombre068 Nombre069 Nombre070 - Total Nombre071 del Nombre072 $ 1000000,00",-10000.0,GRIS,,,,alta,ninguno,regla,cargo automatico del banco
103,2026-08-26,Iva 21% Nombre040 de Nombre041 ley27743,-2100.0,GRIS,,,,alta,ninguno,regla,cargo automatico del banco
104,2026-08-26,Iva percepcion rg 2408,-300.0,GRIS,,,,alta,ninguno,regla,cargo automatico del banco
105,2026-08-26,Debito Nombre005. online banking emp - A Nombre083 Nombre084 Nombre085 / - fac / 20154722375,-552027.92,BLANCO,Flete - Agricultura - Nombre085,00002 00000279,doc_084.pdf,alta,tabla,regla,regla: importe unico + emisor coincide + tabla exacta
106,2026-08-26,Transferencia realizada - A el Nombre086 de Nombre087 s / - fac / 30143959176,-590673.6,BLANCO,,00001 00005363,doc_088.pdf,alta,ninguno,modelo,"importe exacto, CUIT y emisor coinciden"
107,2026-08-26,"Impuesto ley 25.413 debito 0,6%",-6930.61,GRIS,,,,alta,ninguno,regla,cargo automatico del banco
108,2026-08-26,Comision Nombre005 Nombre088 Nombre089 Nombre090 - Comision Nombre091,-1782.0,GRIS,,,,alta,ninguno,regla,cargo automatico del banco
109,2026-08-26,Iva 21% Nombre040 de Nombre041 ley27743,-374.22,GRIS,,,,alta,ninguno,regla,cargo automatico del banco
110,2026-08-27,"Impuesto ley 25.413 debito 0,6%",-12.94,GRIS,,,,alta,ninguno,regla,cargo automatico del banco
111,2026-08-28,Comision servicio cuenta Nombre093,-15120.0,GRIS,,,,alta,ninguno,regla,cargo automatico del banco
112,2026-08-28,Iva 21% Nombre040 de Nombre041 ley27743,-3175.2,GRIS,,,,alta,ninguno,regla,cargo automatico del banco
113,2026-08-28,Iva percepcion rg 2408,-453.6,GRIS,,,,alta,ninguno,regla,cargo automatico del banco
114,2026-08-28,"Impuesto ley 25.413 debito 0,6%",-112.49,GRIS,,,,alta,ninguno,regla,cargo automatico del banco
115,2026-08-29,Debito Nombre005. online banking emp - A Nombre094 Nombre095 Nombre096 / - fac / 20850146105,-94138.0,BLANCO,Maquinaria - Repuestos - Nombre096,00003 00013637,doc_011.pdf,alta,tabla,regla,regla: importe unico + emisor coincide + tabla exacta
116,2026-08-31,Transferencia inmediata - A Nombre097 Nombre098 Nombre099 Nombre100 / - fac / 27078868930,-60000.0,BLANCO,Personal - Haberes - Nombre099 Nombre123 Nombre097,00001 00000975,doc_128.pdf,alta,tabla,regla,regla: importe unico + emisor coincide + tabla exacta
117,2026-08-31,Retiro de efectivo en Nombre064 - Tarj nro. 9486,-400000.0,NARANJA,,,,baja,ninguno,modelo,retiro en efectivo sin documento de respaldo
118,2026-08-31,Retiro de efectivo en Nombre064 - Tarj nro. 9486,-400000.0,NARANJA,,,,baja,ninguno,modelo,retiro en efectivo sin documento de respaldo
119,2026-08-31,Retiro de efectivo en Nombre064 - Tarj nro. 9486,-400000.0,NARANJA,,,,baja,ninguno,modelo,retiro en efectivo sin documento de respaldo
120,2026-08-31,Retiro de efectivo en Nombre064 - Tarj nro. 9486,-400000.0,NARANJA,,,,baja,ninguno,modelo,retiro en efectivo sin documento de respaldo
121,2026-08-31,Pago a proveedores Nombre065 - Nombre080 sa 30726480462 03 6216998,63000000.0,NARANJA,Agricultura - Venta Cereal - Nombre080,,,baja,tabla,modelo,importe no coincide con ningún documento candidato | guarda: se restituyo el Detalle de la tabla
122,2026-08-31,Debito Nombre005. online banking emp - A Nombre044 Nombre045 Nombre046 / - var / 20041007133,-4000000.0,AMARILLO,Retiro - Accionista - Nombre044 Nombre045,08-2026,doc_013.pdf,media,tabla,modelo,"importe redondo, CUIT no coincide, pero concepto y sugerencia lo confirman | convencion: comprobante = periodo"
123,2026-08-31,Transferencia realizada - A Nombre101 Nombre102 Nombre103 Nombre104 / - hab / 20093978642,-1554860.0,BLANCO,Personal - Haberes - Nombre124 Nombre103,08-2026,doc_058.pdf,alta,deducido,modelo,importe exacto y sueldo neto coincide con recibo | convencion: comprobante = periodo
124,2026-08-31,Debito Nombre005. online banking emp - A Nombre008 Nombre045 Nombre105 / - var / 20638004023,-4000000.0,AMARILLO,Retiro - Accionista - Nombre008 Nombre045,08-2026,doc_013.pdf,media,tabla,modelo,"importe redondo, CUIT no coincide, pero concepto y sugerencia lo confirman | convencion: comprobante = periodo"
125,2026-08-31,Transferencia realizada - A Nombre106 Nombre107 Nombre108 / - hab / 20569025623,-1462298.0,BLANCO,Personal - Haberes - Nombre108 Nombre106,08-2026,doc_028.pdf,alta,tabla,modelo,importe exacto coincide con sueldo neto del recibo | convencion: comprobante = periodo
126,2026-08-31,Debito Nombre005. online banking emp - A Nombre109 Nombre110 Nombre111 / - var / 23387889384,-4000000.0,AMARILLO,Retiro - Accionista - Nombre109 Nombre111,08-2026,doc_013.pdf,media,tabla,modelo,"importe redondo, CUIT no coincide, pero concepto y sugerencia lo confirman | convencion: comprobante = periodo"
127,2026-08-31,Pago haberes - 570997423 570997423,-1349920.01,BLANCO,Personal - Haberes,08-2026,doc_120.pdf,alta,deducido,modelo,importe exacto coincide con sueldo neto del recibo | convencion: comprobante = periodo
